"date","cluster","rain","snow","thunderstorm","visibility","crosswind","scheduled"
"09/27/2013",1,0,0,0,10,4.7,1091
"09/28/2013",2,0,0,0,10,4.4,860
"09/29/2013",3,0,0,0,10,3.7,967
"09/30/2013",1,0,0,0,10,4.8,1086
"10/01/2013",1,0,0,0,10,4.8,1061
"10/02/2013",1,0,0,0,10,6.6,1063
"10/03/2013",1,0,0,0,10,4.5,1081
"10/04/2013",1,0,0,0,10,4.9,1087
"10/05/2013",2,0,0,0,7.3,4,857
"10/06/2013",4,0,0,0,3.7,4.2,967
"10/07/2013",1,1,0,0,7.2,10.8,1082
"10/08/2013",1,0,0,0,10,9.7,1059
"10/09/2013",1,0,0,0,10,7.3,1062
"10/10/2013",5,1,0,0,6.7,10.6,1085
"10/11/2013",1,0,0,0,10,11,1085
"10/12/2013",2,0,0,0,10,9.9,850
"10/13/2013",6,0,0,0,10,10.5,951
"10/14/2013",1,0,0,0,10,5.2,1072
"10/15/2013",1,0,0,0,10,3.5,1057
"10/16/2013",1,0,0,0,10,4.4,1055
"10/17/2013",1,0,0,0,7.6,4.3,1079
"10/18/2013",1,0,0,0,10,11.8,1081
"10/19/2013",2,0,0,0,10,6.6,851
"10/20/2013",6,0,0,0,10,9.1,964
"10/21/2013",1,0,0,0,10,5.5,1078
"10/22/2013",1,0,0,0,10,9.7,1057
"10/23/2013",1,0,0,0,10,6.5,1052
"10/24/2013",1,0,0,0,10,11.4,1078
"10/25/2013",1,0,0,0,10,12.2,1081
"10/26/2013",2,0,0,0,10,10.7,853
"10/27/2013",6,0,0,0,10,9.5,942
"10/28/2013",1,0,0,0,10,8.6,1065
"10/29/2013",1,0,0,0,10,6.2,1043
"10/30/2013",1,0,0,0,10,4,1044
"10/31/2013",1,0,0,0,10,4.9,1036
"11/01/2013",5,1,0,0,10,15.6,1067
"11/02/2013",2,0,0,0,10,4.4,826
"11/03/2013",6,0,0,0,10,12.6,869
"11/04/2013",6,0,0,0,10,10,996
"11/05/2013",6,0,0,0,10,4.7,972
"11/06/2013",6,0,0,0,10,5.3,969
"11/07/2013",7,1,0,0,7.9,7.7,992
"11/08/2013",8,0,0,0,10,12.7,996
"11/09/2013",2,0,0,0,10,9.7,786
"11/10/2013",6,0,0,0,10,11.4,864
"11/11/2013",8,0,0,0,10,14.8,993
"11/12/2013",9,1,1,0,7.7,17.1,970
"11/13/2013",8,0,0,0,10,13,963
"11/14/2013",6,0,0,0,10,10.2,989
"11/15/2013",6,0,0,0,10,7,993
"11/16/2013",2,0,0,0,10,4,618
"11/17/2013",2,0,0,0,6.7,3.3,751
"11/18/2013",6,0,0,0,6,13.3,989
"11/19/2013",10,0,0,0,10,16.3,971
"11/20/2013",8,0,0,0,10,11,967
"11/21/2013",6,0,0,0,10,4.4,989
"11/22/2013",11,1,0,0,7.1,5.4,1003
"11/23/2013",2,0,0,0,10,14.1,802
"11/24/2013",8,0,0,0,10,18.6,847
"11/25/2013",8,0,0,0,10,11.5,920
"11/26/2013",6,0,0,0,10,5.7,949
"11/27/2013",5,1,0,0,4.1,16.6,974
"11/28/2013",10,0,0,0,10,17.8,805
"11/29/2013",2,0,0,0,10,5,678
"11/30/2013",2,0,0,0,10,6.4,843
"12/01/2013",12,0,0,0,10,4.2,987
"12/02/2013",6,0,0,0,10,NA,1009
"12/03/2013",6,0,0,0,10,4.1,966
"12/04/2013",6,0,0,0,9.2,3.4,949
"12/05/2013",4,0,0,0,2.9,4.3,980
"12/06/2013",11,1,0,0,3.4,8.5,983
"12/07/2013",13,1,0,0,7.7,10.9,768
"12/08/2013",6,0,0,0,10,6.9,850
"12/09/2013",11,1,1,0,2.5,7.1,987
"12/10/2013",14,0,1,0,6.7,6.3,954
"12/11/2013",6,0,0,0,10,15.2,950
"12/12/2013",6,0,0,0,10,10.6,982
"12/13/2013",6,0,0,0,10,12,990
"12/14/2013",14,0,1,0,6.7,7.5,775
"12/15/2013",15,1,1,0,3.9,16.5,858
"12/16/2013",6,0,0,0,10,11.8,995
"12/17/2013",9,0,1,0,3.8,6,967
"12/18/2013",6,0,0,0,10,9.9,975
"12/19/2013",6,0,0,0,10,7.8,984
"12/20/2013",12,0,0,0,10,3.8,1003
"12/21/2013",2,0,0,0,10,4.2,852
"12/22/2013",12,0,0,0,8.8,9.7,893
"12/23/2013",16,1,0,0,3.2,8.6,981
"12/24/2013",2,0,0,0,10,8,832
"12/25/2013",2,0,0,0,10,8.1,724
"12/26/2013",12,0,0,0,10,5.1,927
"12/27/2013",12,0,0,0,10,7.9,961
"12/28/2013",12,0,0,0,10,8.1,847
"12/29/2013",7,1,0,0,7,4.6,887
"12/30/2013",6,0,0,0,8.7,11.5,960
"12/31/2013",12,0,0,0,10,10.1,854
"01/01/2014",2,0,0,0,10,11.3,784
"01/02/2014",9,0,1,0,7.7,12.8,965
"01/03/2014",17,0,1,0,3.7,21.1,973
"01/04/2014",2,0,0,0,10,7.3,842
"01/05/2014",7,1,0,0,5.7,3.9,923
"01/06/2014",11,1,0,0,3.2,12.2,1005
"01/07/2014",18,0,0,0,10,20.8,929
"01/08/2014",6,0,0,0,10,12.9,929
"01/09/2014",6,0,0,0,10,6,960
"01/10/2014",6,0,0,0,8.3,3.4,968
